City,crime,2023,2024,2025,2026,TotalCount
Kolkata,CYBERCRIME,8,17,17,10,51
Chennai,VEHICLE - STOLEN,7,17,17,10,50
Kanpur,CYBERCRIME,5,18,17,10,50
Chennai,VANDALISM,7,17,17,10,50
Kanpur,VEHICLE - STOLEN,6,17,17,10,50
Hyderabad,DOMESTIC VIOLENCE,7,16,16,10,49
Kolkata,VEHICLE - STOLEN,7,16,16,9,49
Pune,CYBERCRIME,7,16,16,9,48
Hyderabad,TRAFFIC VIOLATION,7,16,16,9,48
Pune,ARSON,6,16,16,9,48
Hyderabad,HOMICIDE,7,16,16,9,48
Kanpur,ASSAULT,5,17,16,9,48
Kolkata,ROBBERY,7,16,16,9,47
Chennai,BURGLARY,6,16,16,9,47
Kanpur,DRUG OFFENSE,5,16,16,9,47
Hyderabad,VANDALISM,7,15,16,9,47
Jaipur,ILLEGAL POSSESSION,6,16,15,9,46
Chennai,DOMESTIC VIOLENCE,6,16,15,9,46
Bangalore,IDENTITY THEFT,6,16,15,9,46
Pune,ROBBERY,6,15,15,9,46
Pune,EXTORTION,6,15,15,9,46
Jaipur,VEHICLE - STOLEN,6,16,15,8,45
Pune,VEHICLE - STOLEN,7,15,15,8,45
Chennai,TRAFFIC VIOLATION,6,15,15,9,45
Hyderabad,KIDNAPPING,6,15,15,9,44
Pune,SHOPLIFTING,6,15,15,9,44
Kolkata,COUNTERFEITING,6,14,14,8,43
Kolkata,FRAUD,6,14,14,8,43
Pune,FRAUD,6,15,14,8,43
Chennai,HOMICIDE,6,14,14,8,42
Mumbai,SEXUAL ASSAULT,6,14,14,8,42
Agra,VEHICLE - STOLEN,4,14,15,9,42
Chennai,PUBLIC INTOXICATION,5,14,14,8,42
Vasai,VEHICLE - STOLEN,3,15,15,8,41
Chennai,KIDNAPPING,5,14,14,8,41
Jaipur,CYBERCRIME,5,14,14,8,41
Kolkata,DOMESTIC VIOLENCE,6,14,14,8,41
Kolkata,BURGLARY,6,14,13,8,41
Hyderabad,FIREARM OFFENSE,5,14,14,8,41
Pune,VANDALISM,5,14,14,8,41
Kolkata,SEXUAL ASSAULT,6,14,13,8,41
Mumbai,PUBLIC INTOXICATION,6,14,14,8,41
Kolkata,KIDNAPPING,6,13,13,7,40
Kolkata,PUBLIC INTOXICATION,6,13,13,7,39
Jaipur,ASSAULT,5,13,13,7,38
Indore,VEHICLE - STOLEN,4,13,14,8,38
Pune,BURGLARY,5,13,13,8,38
Hyderabad,IDENTITY THEFT,5,13,13,8,38
Jaipur,FRAUD,5,13,12,7,38
Kanpur,ROBBERY,4,13,13,7,37
Chennai,FIREARM OFFENSE,5,13,13,7,37
Kanpur,EXTORTION,4,13,12,7,37
Jaipur,DRUG OFFENSE,5,13,12,7,37
Pune,SEXUAL ASSAULT,4,12,12,7,36
Kanpur,COUNTERFEITING,5,13,12,7,36
Pune,COUNTERFEITING,5,12,12,7,36
Kanpur,FRAUD,4,12,12,7,36
Nagpur,FRAUD,4,11,13,8,36
Kanpur,VANDALISM,4,12,12,7,35
Kolkata,TRAFFIC VIOLATION,5,12,12,7,35
Agra,ILLEGAL POSSESSION,2,11,14,7,35
Kolkata,HOMICIDE,5,11,11,7,35
Nagpur,ASSAULT,4,11,12,7,34
Pune,KIDNAPPING,5,12,11,7,34
Visakhapatnam,VEHICLE - STOLEN,4,10,12,7,34
Vasai,CYBERCRIME,2,12,12,7,33
Indore,CYBERCRIME,3,10,13,7,33
Pune,HOMICIDE,5,11,11,6,33
Vasai,FRAUD,3,12,12,7,33
Nagpur,EXTORTION,3,10,12,7,32
Jaipur,COUNTERFEITING,4,11,11,6,32
Jaipur,EXTORTION,4,11,11,6,32
Nagpur,COUNTERFEITING,4,10,11,7,32
Ahmedabad,ASSAULT,5,11,10,6,32
Agra,KIDNAPPING,4,11,11,6,32
Agra,CYBERCRIME,2,11,12,7,32
Ahmedabad,VEHICLE - STOLEN,5,10,10,6,32
Agra,FRAUD,3,11,12,7,32
Ahmedabad,EXTORTION,5,11,10,6,32
Chennai,IDENTITY THEFT,4,11,11,6,31
Vasai,KIDNAPPING,3,12,10,6,31
Nagpur,VEHICLE - STOLEN,4,10,11,6,31
Nagpur,ILLEGAL POSSESSION,4,10,11,6,31
Kanpur,KIDNAPPING,4,10,11,6,31
Agra,EXTORTION,3,10,11,6,31
Kanpur,ARSON,3,11,11,6,31
Agra,COUNTERFEITING,3,11,11,6,31
Kanpur,BURGLARY,3,10,11,7,31
Kolkata,IDENTITY THEFT,5,10,10,6,31
Ahmedabad,DRUG OFFENSE,5,10,10,6,31
Lucknow,EXTORTION,5,10,10,6,30
Lucknow,VEHICLE - STOLEN,5,10,10,6,30
Visakhapatnam,FRAUD,4,9,11,6,30
Kanpur,HOMICIDE,3,10,10,6,30
Indore,KIDNAPPING,3,10,11,6,30
Jaipur,KIDNAPPING,4,10,10,6,30
Visakhapatnam,BURGLARY,3,9,11,6,30
Varanasi,VEHICLE - STOLEN,4,9,11,6,30
Nagpur,ROBBERY,4,10,10,6,30
Visakhapatnam,ILLEGAL POSSESSION,3,9,11,6,29
Lucknow,ASSAULT,5,10,9,5,29
Vasai,ASSAULT,2,10,10,6,29
Lucknow,COUNTERFEITING,4,10,10,5,29
Pune,PUBLIC INTOXICATION,4,10,10,6,29
Pune,DOMESTIC VIOLENCE,4,10,10,6,29
Vasai,DRUG OFFENSE,3,11,10,6,29
Jaipur,HOMICIDE,4,10,9,6,29
Kanpur,SHOPLIFTING,3,10,10,6,29
Nagpur,DRUG OFFENSE,4,9,10,6,29
Lucknow,FRAUD,5,10,9,5,29
Lucknow,ILLEGAL POSSESSION,5,10,9,5,29
Agra,ASSAULT,3,9,11,6,29
Nagpur,KIDNAPPING,4,9,10,6,28
Lucknow,KIDNAPPING,4,9,9,5,28
Pune,FIREARM OFFENSE,4,10,9,5,28
Lucknow,DRUG OFFENSE,5,10,9,5,28
Pune,IDENTITY THEFT,4,10,9,6,28
Delhi,SEXUAL ASSAULT,3,10,10,6,28
Agra,HOMICIDE,2,10,10,6,28
Visakhapatnam,ARSON,3,9,10,6,28
Vasai,ILLEGAL POSSESSION,2,10,10,6,28
Delhi,PUBLIC INTOXICATION,2,9,10,6,28
Mumbai,IDENTITY THEFT,4,9,9,5,28
Ahmedabad,FRAUD,5,10,8,5,28
Varanasi,ILLEGAL POSSESSION,3,9,10,6,27
Visakhapatnam,DRUG OFFENSE,4,8,10,6,27
Indore,ILLEGAL POSSESSION,3,9,10,6,27
Jaipur,ARSON,4,9,9,5,27
Jaipur,ROBBERY,4,9,9,5,27
Nagpur,HOMICIDE,3,9,10,6,27
Lucknow,ROBBERY,4,9,8,5,26
Jaipur,FIREARM OFFENSE,3,9,9,5,26
Nagpur,ARSON,3,8,10,6,26
Vasai,ROBBERY,3,9,9,5,26
Nagpur,DOMESTIC VIOLENCE,3,9,9,5,26
Agra,DRUG OFFENSE,3,9,9,5,26
Vasai,HOMICIDE,2,9,9,5,26
Pune,TRAFFIC VIOLATION,3,9,9,5,26
Indore,EXTORTION,3,8,9,5,25
Indore,COUNTERFEITING,3,8,9,5,25
Agra,ROBBERY,3,9,9,5,25
Nagpur,SHOPLIFTING,2,8,9,6,25
Visakhapatnam,ROBBERY,3,8,9,5,25
Kolkata,FIREARM OFFENSE,4,8,8,5,25
Nagpur,CYBERCRIME,3,8,9,5,25
Visakhapatnam,ASSAULT,3,8,9,5,25
Lucknow,CYBERCRIME,4,8,8,5,25
Indore,DRUG OFFENSE,3,8,9,5,25
Varanasi,DRUG OFFENSE,3,8,9,5,25
Visakhapatnam,SEXUAL ASSAULT,2,8,9,6,25
Nashik,KIDNAPPING,2,8,10,6,25
Visakhapatnam,EXTORTION,3,8,9,5,25
Kanpur,DOMESTIC VIOLENCE,3,9,8,5,24
Jaipur,BURGLARY,4,8,8,5,24
Agra,BURGLARY,2,8,9,5,24
Visakhapatnam,CYBERCRIME,3,8,9,5,24
Jaipur,VANDALISM,3,8,8,4,24
Nagpur,BURGLARY,2,8,9,5,24
Vasai,BURGLARY,2,9,8,5,24
Visakhapatnam,HOMICIDE,3,7,9,5,24
Ahmedabad,KIDNAPPING,3,8,8,5,24
Nagpur,TRAFFIC VIOLATION,2,8,8,5,24
Indore,FRAUD,2,8,9,5,24
Visakhapatnam,SHOPLIFTING,3,7,9,5,24
Ahmedabad,VANDALISM,4,8,8,4,24
Vasai,FIREARM OFFENSE,2,8,8,5,24
Vasai,EXTORTION,2,8,8,5,24
Ahmedabad,FIREARM OFFENSE,4,8,7,4,23
Jaipur,PUBLIC INTOXICATION,3,8,8,5,23
Ahmedabad,CYBERCRIME,4,8,7,4,23
Lucknow,HOMICIDE,4,8,7,4,23
Visakhapatnam,KIDNAPPING,4,7,8,5,23
Agra,DOMESTIC VIOLENCE,2,8,9,5,23
Indore,HOMICIDE,2,8,9,5,23
Nagpur,FIREARM OFFENSE,2,7,9,5,23
Varanasi,VANDALISM,2,7,8,5,23
Lucknow,SHOPLIFTING,4,8,7,4,23
Lucknow,DOMESTIC VIOLENCE,3,8,8,4,23
Varanasi,KIDNAPPING,3,7,8,5,22
Varanasi,EXTORTION,3,7,8,4,22
Visakhapatnam,FIREARM OFFENSE,2,7,8,5,22
Agra,IDENTITY THEFT,1,7,9,5,22
Patna,EXTORTION,3,7,7,4,22
Lucknow,ARSON,4,7,7,4,22
Varanasi,ASSAULT,3,7,8,4,22
Indore,ROBBERY,3,7,7,4,21
Jaipur,SHOPLIFTING,3,7,7,4,21
Ahmedabad,IDENTITY THEFT,5,8,5,3,21
Ahmedabad,ILLEGAL POSSESSION,4,7,7,4,21
Kanpur,PUBLIC INTOXICATION,2,7,8,5,21
Vasai,COUNTERFEITING,2,8,7,4,21
Lucknow,PUBLIC INTOXICATION,4,7,6,4,21
Faridabad,ARSON,1,7,8,5,21
Nashik,VEHICLE - STOLEN,1,7,8,4,21
Ahmedabad,ROBBERY,3,7,7,4,21
Agra,FIREARM OFFENSE,2,7,7,4,21
Nagpur,VANDALISM,3,6,7,4,21
Ludhiana,KIDNAPPING,3,7,7,4,21
Patna,ASSAULT,3,7,7,4,20
Indore,BURGLARY,2,7,7,4,20
Varanasi,FRAUD,3,7,7,4,20
Lucknow,BURGLARY,4,7,6,4,20
Ahmedabad,SHOPLIFTING,4,7,6,3,20
Agra,PUBLIC INTOXICATION,3,6,7,4,20
Faridabad,SEXUAL ASSAULT,0,6,9,5,20
Ahmedabad,ARSON,4,7,5,3,20
Indore,ASSAULT,3,6,7,4,20
Nagpur,IDENTITY THEFT,1,6,8,5,20
Nagpur,SEXUAL ASSAULT,1,7,7,5,20
Ghaziabad,EXTORTION,2,7,7,4,20
Ludhiana,DRUG OFFENSE,3,7,6,4,20
Agra,VANDALISM,2,6,7,4,20
Agra,TRAFFIC VIOLATION,2,6,8,4,20
Varanasi,ROBBERY,3,6,7,4,20
Visakhapatnam,VANDALISM,3,6,7,4,20
Varanasi,CYBERCRIME,2,6,7,4,20
Kanpur,IDENTITY THEFT,1,7,8,5,20
Ahmedabad,BURGLARY,4,7,6,3,20
Rajkot,ASSAULT,2,6,7,4,19
Visakhapatnam,PUBLIC INTOXICATION,2,6,7,4,19
Ghaziabad,KIDNAPPING,2,7,6,4,19
Lucknow,FIREARM OFFENSE,4,7,6,3,19
Agra,SHOPLIFTING,2,6,7,4,19
Visakhapatnam,IDENTITY THEFT,1,6,7,5,19
Lucknow,TRAFFIC VIOLATION,3,6,6,4,19
Ludhiana,EXTORTION,3,7,6,4,19
Varanasi,BURGLARY,2,6,7,4,19
Kanpur,SEXUAL ASSAULT,1,6,7,4,19
Thane,ROBBERY,2,6,6,4,19
Rajkot,DRUG OFFENSE,2,6,7,4,19
Rajkot,VEHICLE - STOLEN,2,6,6,4,19
Indore,PUBLIC INTOXICATION,2,6,7,4,18
Lucknow,VANDALISM,3,6,6,3,18
Nagpur,PUBLIC INTOXICATION,1,6,7,4,18
Ludhiana,VEHICLE - STOLEN,3,6,6,3,18
Ahmedabad,COUNTERFEITING,3,6,6,3,18
Vasai,VANDALISM,2,7,6,3,18
Surat,KIDNAPPING,3,6,6,3,18
Rajkot,EXTORTION,2,6,6,4,18
Indore,ARSON,2,6,7,4,18
Ahmedabad,SEXUAL ASSAULT,4,6,5,3,18
Patna,VANDALISM,2,6,6,3,18
Lucknow,SEXUAL ASSAULT,4,6,5,3,18
Patna,DRUG OFFENSE,2,6,6,3,18
Patna,ROBBERY,2,6,6,3,17
Faridabad,PUBLIC INTOXICATION,0,6,7,4,17
Lucknow,IDENTITY THEFT,4,6,5,3,17
Agra,ARSON,2,6,6,3,17
Ludhiana,ASSAULT,2,6,6,3,17
Thane,KIDNAPPING,2,6,6,3,17
Ghaziabad,SEXUAL ASSAULT,2,6,6,4,17
Ghaziabad,ROBBERY,2,6,6,3,17
Ludhiana,VANDALISM,2,6,6,3,17
Thane,ASSAULT,2,6,5,3,17
Thane,COUNTERFEITING,2,6,6,3,17
Patna,TRAFFIC VIOLATION,2,6,6,3,17
Rajkot,VANDALISM,2,6,6,3,17
Kanpur,FIREARM OFFENSE,2,5,6,3,17
Visakhapatnam,COUNTERFEITING,3,5,6,3,16
Ludhiana,ROBBERY,2,6,5,3,16
Bhopal,KIDNAPPING,2,6,5,3,16
Ghaziabad,TRAFFIC VIOLATION,2,6,5,3,16
Rajkot,KIDNAPPING,2,5,6,3,16
Rajkot,ROBBERY,2,5,6,3,16
Faridabad,BURGLARY,1,5,6,4,16
Surat,ROBBERY,3,5,5,3,16
Varanasi,HOMICIDE,2,5,6,3,16
Nashik,ROBBERY,2,5,6,3,16
Nashik,EXTORTION,1,4,7,4,16
Surat,DRUG OFFENSE,3,5,5,3,16
Nashik,COUNTERFEITING,2,6,5,3,16
Patna,KIDNAPPING,2,5,5,3,16
Faridabad,ROBBERY,2,5,6,3,16
Surat,EXTORTION,3,5,5,3,16
Patna,FIREARM OFFENSE,2,5,5,3,16
Ghaziabad,DRUG OFFENSE,2,5,5,3,16
Ghaziabad,ASSAULT,2,5,5,3,16
Indore,VANDALISM,2,5,5,3,16
Rajkot,ILLEGAL POSSESSION,2,5,5,3,16
Ahmedabad,PUBLIC INTOXICATION,4,5,4,3,16
Vasai,ARSON,1,6,5,3,15
Ghaziabad,PUBLIC INTOXICATION,1,5,5,3,15
Surat,ASSAULT,3,5,5,3,15
Thane,FRAUD,2,5,5,3,15
Nashik,PUBLIC INTOXICATION,0,4,7,4,15
Faridabad,EXTORTION,1,5,5,3,15
Bhopal,DRUG OFFENSE,2,5,5,3,15
Rajkot,FRAUD,2,5,5,3,15
Rajkot,CYBERCRIME,2,5,5,3,15
Thane,VEHICLE - STOLEN,2,5,5,3,15
Indore,FIREARM OFFENSE,2,5,5,3,15
Nashik,ASSAULT,1,4,6,3,15
Vasai,PUBLIC INTOXICATION,2,6,5,3,15
Bhopal,ROBBERY,2,5,5,3,15
Patna,DOMESTIC VIOLENCE,2,5,5,3,15
Faridabad,TRAFFIC VIOLATION,1,5,5,3,14
Ahmedabad,HOMICIDE,3,5,4,3,14
Surat,TRAFFIC VIOLATION,2,5,5,3,14
Nashik,DRUG OFFENSE,1,5,5,3,14
Ghaziabad,DOMESTIC VIOLENCE,2,5,5,3,14
Surat,VEHICLE - STOLEN,3,4,4,2,14
Delhi,IDENTITY THEFT,0,5,6,3,14
Ludhiana,FRAUD,2,5,5,3,14
Thane,DRUG OFFENSE,2,5,4,3,14
Patna,FRAUD,2,5,5,3,14
Thane,CYBERCRIME,2,5,5,3,14
Ludhiana,ILLEGAL POSSESSION,2,5,5,3,14
Bhopal,EXTORTION,2,5,4,3,14
Faridabad,HOMICIDE,1,5,5,3,14
Varanasi,COUNTERFEITING,2,4,5,3,14
Faridabad,SHOPLIFTING,1,4,5,3,14
Indore,DOMESTIC VIOLENCE,2,4,5,3,14
Ahmedabad,TRAFFIC VIOLATION,2,5,4,2,14
Bhopal,ASSAULT,2,5,4,3,14
Surat,VANDALISM,2,4,4,3,14
Varanasi,ARSON,2,4,5,3,14
Surat,FRAUD,3,4,4,2,14
Faridabad,FRAUD,1,4,5,3,13
Surat,COUNTERFEITING,2,4,4,2,13
Faridabad,ILLEGAL POSSESSION,2,5,5,3,13
Patna,ILLEGAL POSSESSION,2,4,4,3,13
Varanasi,DOMESTIC VIOLENCE,2,4,5,3,13
Meerut,KIDNAPPING,2,4,5,3,13
Nashik,CYBERCRIME,1,5,5,2,13
Faridabad,DOMESTIC VIOLENCE,2,4,4,3,13
Ghaziabad,FIREARM OFFENSE,2,5,4,3,13
Ludhiana,FIREARM OFFENSE,2,4,4,3,13
Kalyan,ROBBERY,1,4,5,3,13
Srinagar,ROBBERY,2,4,4,3,13
Ghaziabad,IDENTITY THEFT,1,5,4,3,13
Ludhiana,BURGLARY,2,4,4,2,13
Ghaziabad,SHOPLIFTING,1,4,4,3,13
Thane,EXTORTION,2,4,4,2,13
Ghaziabad,FRAUD,2,4,4,3,13
Bhopal,VANDALISM,2,4,4,2,13
Ghaziabad,ARSON,1,4,4,3,13
Faridabad,COUNTERFEITING,2,5,4,2,13
Indore,SHOPLIFTING,2,4,4,3,13
Surat,ILLEGAL POSSESSION,3,4,4,2,13
Jaipur,IDENTITY THEFT,2,4,4,2,13
Srinagar,KIDNAPPING,3,4,4,2,13
Patna,COUNTERFEITING,2,4,4,2,13
Faridabad,KIDNAPPING,2,4,4,3,13
Bhopal,ARSON,2,4,4,2,13
Bhopal,VEHICLE - STOLEN,2,4,4,2,13
Surat,DOMESTIC VIOLENCE,2,4,4,2,13
Jaipur,DOMESTIC VIOLENCE,2,4,4,2,13
Kalyan,ASSAULT,1,4,4,3,13
Visakhapatnam,TRAFFIC VIOLATION,2,4,4,3,12
Ahmedabad,DOMESTIC VIOLENCE,2,4,4,2,12
Surat,ARSON,2,4,4,2,12
Thane,DOMESTIC VIOLENCE,2,4,4,2,12
Surat,SHOPLIFTING,2,4,4,2,12
Vasai,SHOPLIFTING,2,5,4,2,12
Patna,SHOPLIFTING,2,4,4,2,12
Indore,IDENTITY THEFT,1,4,5,3,12
Ghaziabad,COUNTERFEITING,2,4,4,2,12
Bhopal,ILLEGAL POSSESSION,2,4,4,2,12
Varanasi,SHOPLIFTING,2,4,4,2,12
Ludhiana,TRAFFIC VIOLATION,2,4,4,2,12
Kalyan,KIDNAPPING,1,4,4,2,12
Nashik,HOMICIDE,1,4,4,2,12
Bhopal,SHOPLIFTING,2,4,4,2,12
Ludhiana,CYBERCRIME,2,4,4,2,12
Bhopal,TRAFFIC VIOLATION,2,4,4,2,12
Patna,VEHICLE - STOLEN,2,4,4,2,12
Bhopal,COUNTERFEITING,1,4,4,2,12
Meerut,DRUG OFFENSE,1,4,4,3,12
Varanasi,FIREARM OFFENSE,2,4,4,2,12
Kalyan,EXTORTION,1,4,4,3,12
Meerut,EXTORTION,1,3,4,3,12
Bhopal,FRAUD,2,4,4,2,12
Kalyan,DOMESTIC VIOLENCE,1,4,4,2,12
Ghaziabad,VANDALISM,2,4,4,2,11
Ghaziabad,BURGLARY,1,4,4,2,11
Ludhiana,DOMESTIC VIOLENCE,2,4,4,2,11
Nashik,FRAUD,1,4,4,2,11
Ghaziabad,VEHICLE - STOLEN,1,4,4,2,11
Kalyan,VANDALISM,1,4,4,2,11
Thane,VANDALISM,2,4,4,2,11
Ghaziabad,HOMICIDE,1,4,4,2,11
Meerut,ASSAULT,2,4,4,2,11
Ludhiana,HOMICIDE,2,4,4,2,11
Srinagar,EXTORTION,2,3,4,2,11
Rajkot,COUNTERFEITING,2,4,4,2,11
Thane,ILLEGAL POSSESSION,2,4,3,2,11
Kanpur,TRAFFIC VIOLATION,2,4,3,2,11
Srinagar,COUNTERFEITING,2,3,4,2,11
Surat,FIREARM OFFENSE,2,3,4,2,11
Bhopal,DOMESTIC VIOLENCE,2,4,4,2,11
Kalyan,COUNTERFEITING,1,4,4,2,11
Thane,HOMICIDE,2,4,4,2,11
Ludhiana,SHOPLIFTING,2,4,4,2,11
Meerut,ROBBERY,2,4,4,2,11
Srinagar,TRAFFIC VIOLATION,2,3,4,2,11
Rajkot,FIREARM OFFENSE,1,4,4,2,11
Faridabad,VEHICLE - STOLEN,2,4,3,2,11
Nashik,DOMESTIC VIOLENCE,1,3,4,2,11
Ludhiana,PUBLIC INTOXICATION,1,4,3,2,11
Patna,CYBERCRIME,2,4,4,2,11
Surat,BURGLARY,2,3,3,2,11
Visakhapatnam,DOMESTIC VIOLENCE,2,3,4,2,11
Rajkot,BURGLARY,1,3,4,2,10
Varanasi,PUBLIC INTOXICATION,2,3,3,2,10
Rajkot,DOMESTIC VIOLENCE,2,3,3,2,10
Ludhiana,ARSON,1,4,3,2,10
Kalyan,VEHICLE - STOLEN,1,4,4,2,10
Meerut,VEHICLE - STOLEN,1,3,4,2,10
Kalyan,ILLEGAL POSSESSION,1,3,3,2,10
Kalyan,DRUG OFFENSE,1,3,4,2,10
Rajkot,HOMICIDE,1,3,3,2,10
Bhopal,BURGLARY,2,3,3,2,10
Faridabad,IDENTITY THEFT,0,2,5,3,10
Srinagar,ASSAULT,2,3,3,2,10
Kalyan,FRAUD,1,3,4,2,10
Thane,BURGLARY,2,3,3,2,10
Srinagar,FRAUD,2,3,3,2,10
Srinagar,ARSON,1,3,3,2,10
Faridabad,CYBERCRIME,1,3,3,2,10
Ludhiana,COUNTERFEITING,2,3,3,2,10
Bhopal,PUBLIC INTOXICATION,1,3,3,2,10
Bhopal,FIREARM OFFENSE,2,3,3,2,10
Varanasi,TRAFFIC VIOLATION,1,3,3,2,10
Ghaziabad,CYBERCRIME,1,3,3,2,10
Thane,TRAFFIC VIOLATION,1,3,3,2,10
Faridabad,ASSAULT,2,3,3,2,10
Nashik,ILLEGAL POSSESSION,1,4,3,2,10
Surat,HOMICIDE,2,3,3,2,9
Patna,ARSON,1,3,3,2,9
Bhopal,CYBERCRIME,1,3,3,2,9
Srinagar,DOMESTIC VIOLENCE,2,3,3,2,9
Srinagar,SEXUAL ASSAULT,1,3,4,2,9
Bhopal,IDENTITY THEFT,1,3,3,2,9
Ludhiana,SEXUAL ASSAULT,1,3,3,2,9
Kalyan,CYBERCRIME,1,3,3,2,9
Surat,PUBLIC INTOXICATION,1,3,3,2,9
Surat,CYBERCRIME,2,3,3,2,9
Thane,ARSON,2,3,3,2,9
Meerut,FRAUD,1,3,3,2,9
Srinagar,SHOPLIFTING,1,3,3,2,9
Agra,SEXUAL ASSAULT,1,3,2,2,9
Bhopal,HOMICIDE,1,3,3,2,9
Meerut,DOMESTIC VIOLENCE,1,3,3,1,9
Thane,SHOPLIFTING,1,3,3,2,9
Nashik,SHOPLIFTING,0,2,4,2,9
Srinagar,PUBLIC INTOXICATION,1,2,3,2,9
Srinagar,DRUG OFFENSE,2,2,3,2,9
Meerut,TRAFFIC VIOLATION,1,3,3,2,9
Kalyan,TRAFFIC VIOLATION,1,2,3,2,8
Ghaziabad,ILLEGAL POSSESSION,1,3,3,2,8
Bhopal,SEXUAL ASSAULT,2,3,2,2,8
Meerut,SEXUAL ASSAULT,0,2,4,3,8
